pais,anio,grupo_edad,sexo,causa,causa_grupo,q_media_posterior,q_mediana_posterior,q_li_95,q_ls_95
Belice,2015,10-14,Mujer,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,1.120661401128898e-5,4.491508196093058e-6,3.8549501527797564e-9,5.884049808457045e-5
Belice,2015,10-14,Mujer,XIV,Enfermedades del sistema genitourinario,8.551189509297867e-6,5.61378025876813e-7,1.5081298859837814e-14,7.08444293352269e-5
Belice,2015,10-14,Mujer,XV,"Embarazo, parto y puerperio",1.5042137931960678e-5,1.0789098159894688e-5,4.869756749404621e-7,5.2880237612292305e-5
Belice,2015,10-14,Mujer,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",6.00335033239547e-6,9.512532920664935e-8,2.862786244364911e-18,5.4014817377975974e-5
Belice,2015,10-14,Mujer,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",4.10374207478308e-6,4.323265992583211e-9,1.562689080442205e-25,4.4389994450847026e-5
Belice,2015,10-14,Mujer,XX,Causas externas de mortalidad,1.9917316204914203e-4,1.8169555913755226e-4,5.647327035714249e-5,4.374831739631441e-4
Belice,2015,15-19,Hombre,I,Enfermedades infecciosas y parasitarias,8.89573257553003e-5,7.259513994853741e-5,8.6364689434094e-6,0.00026063206522690993
Belice,2015,15-19,Hombre,II,Tumores,6.822262624354121e-5,5.243048131449984e-5,3.819741004404548e-6,2.201855910613818e-4
Belice,2015,15-19,Hombre,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,1.0867362420832008e-4,9.219130706529383e-5,1.4726945848338565e-5,2.9518424799089213e-4
Belice,2015,15-19,Hombre,IV,"Enfermedades endocrinas, nutricionales y metabólicas",1.2382934279877957e-5,1.7893506709290975e-6,6.624171661309686e-12,8.849711448989684e-5
Belice,2015,15-19,Hombre,IX,Enfermedades del sistema circulatorio,9.572287438682034e-6,7.533592221912509e-7,2.6243128560978606e-14,7.645636916799174e-5
Belice,2015,15-19,Hombre,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",1.6165258139412317e-5,4.412303820662902e-6,3.87062647817185e-10,9.986554281917169e-5
Belice,2015,15-19,Hombre,X,Enfermedades del sistema respiratorio,1.1685709662796184e-4,9.944574323668374e-5,1.6532420515503566e-5,3.1119399973552665e-4
Belice,2015,15-19,Hombre,XI,Enfermedades del sistema digestivo,1.2177088235201415e-4,1.0595147429926022e-4,1.8778195820313353e-5,3.1643637858943494e-4
Belice,2015,15-19,Hombre,XII,Enfermedades de la piel y del tejido subcutáneo,1.6971370436224195e-6,2.6771413851246602e-15,1.2468791486409199e-59,1.9574321473784875e-05
Belice,2015,15-19,Hombre,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,1.1450509827957468e-5,4.481323016446901e-6,4.0056938475933375e-9,6.153122472080547e-5
Belice,2015,15-19,Hombre,XIV,Enfermedades del sistema genitourinario,8.615661304168006e-6,5.510829328616481e-7,1.572477859913705e-14,7.178038189254368e-5
Belice,2015,15-19,Hombre,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",5.6691433094575925e-6,9.648230972517427e-8,1.8768293469018485e-18,5.209013945080306e-5
Belice,2015,15-19,Hombre,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",4.181804623698518e-6,3.663312282367923e-9,7.301746605358475e-26,4.133212328549121e-5
Belice,2015,15-19,Hombre,XX,Causas externas de mortalidad,0.0011058055598175526,0.0010902170626630192,6.958958437614669e-4,0.0016099142467969417
Belice,2015,15-19,Mujer,I,Enfermedades infecciosas y parasitarias,1.4223962173853927e-4,1.2570107418311214e-4,2.7514234008972533e-5,3.498062636565844e-4
Belice,2015,15-19,Mujer,II,Tumores,7.011039376493004e-5,5.415367253959863e-5,3.924642898035176e-6,2.255306276640364e-4
Belice,2015,15-19,Mujer,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,6.9185531045948935e-6,1.6818145800605582e-7,2.8792238165371004e-17,6.147851898765344e-5
Belice,2015,15-19,Mujer,IV,"Enfermedades endocrinas, nutricionales y metabólicas",6.509816542410855e-5,4.869795808883872e-5,3.072648827278579e-6,2.1767636093056095e-4
Belice,2015,15-19,Mujer,IX,Enfermedades del sistema circulatorio,9.462998104383125e-6,6.836543070223886e-7,4.131184544074898e-14,7.4963890061309e-5
Belice,2015,15-19,Mujer,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",6.860164590790907e-5,5.18133554497248e-5,3.59773042428408e-6,2.30005869781756e-4
Belice,2015,15-19,Mujer,X,Enfermedades del sistema respiratorio,1.1561139849438338e-5,1.591245294368328e-6,2.127429961513219e-12,8.049573823585176e-5
Belice,2015,15-19,Mujer,XI,Enfermedades del sistema digestivo,7.218245845366627e-5,5.499679191666191e-5,4.247126966398633e-6,2.2832722138173977e-4
Belice,2015,15-19,Mujer,XII,Enfermedades de la piel y del tejido subcutáneo,1.4691300424155795e-6,1.588264911092493e-15,3.7678545633855563e-59,1.658628031680996e-5
Belice,2015,15-19,Mujer,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,3.84358033665149e-5,2.9739886141572126e-5,2.6953573004874045e-6,1.2082906993171427e-4
Belice,2015,15-19,Mujer,XIV,Enfermedades del sistema genitourinario,9.07102818234285e-6,5.700165181877443e-7,1.3361763985291728e-14,7.251073958368281e-5
Belice,2015,15-19,Mujer,XV,"Embarazo, parto y puerperio",1.5393835460026217e-5,1.1085329060205279e-5,5.23032389833846e-7,5.5275040069785416e-5
Belice,2015,15-19,Mujer,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",5.512003353217996e-6,1.0639516539385437e-7,2.246592141187503e-18,5.174370316497458e-5
Belice,2015,15-19,Mujer,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",4.010230265296582e-6,4.900388455149821e-9,1.0007659404620294e-25,4.399628003024906e-5
Belice,2015,15-19,Mujer,XX,Causas externas de mortalidad,2.0388437757485258e-4,1.8618081044184838e-4,5.637760356819416e-5,4.4724308108438796e-4
Belice,2015,20-24,Hombre,I,Enfermedades infecciosas y parasitarias,4.214188751450681e-5,2.680349156640985e-5,4.358618238379153e-7,1.6770865928719355e-4
Belice,2015,20-24,Hombre,II,Tumores,7.174104479559192e-5,5.443158441021871e-5,3.7938662560695336e-6,2.3524559214838575e-4
