pais,anio,grupo_edad,sexo,causa,causa_grupo,q_c
Belice,2015,20-24,Hombre,IX,Enfermedades del sistema circulatorio,1.0031040290560746e-5
Belice,2015,20-24,Hombre,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",1.781860212846182e-5
Belice,2015,20-24,Hombre,X,Enfermedades del sistema respiratorio,6.760369812757804e-5
Belice,2015,20-24,Hombre,XI,Enfermedades del sistema digestivo,7.524014322558846e-5
Belice,2015,20-24,Hombre,XII,Enfermedades de la piel y del tejido subcutáneo,5.7079766844612746e-5
Belice,2015,20-24,Hombre,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,1.1579780142393852e-5
Belice,2015,20-24,Hombre,XIV,Enfermedades del sistema genitourinario,9.137361139692914e-6
Belice,2015,20-24,Hombre,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",5.801646544447394e-6
Belice,2015,20-24,Hombre,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",4.435102910687338e-6
Belice,2015,20-24,Hombre,XX,Causas externas de mortalidad,0.0015384054877371296
Belice,2015,20-24,Mujer,I,Enfermedades infecciosas y parasitarias,2.598373098490648e-4
Belice,2015,20-24,Mujer,II,Tumores,1.725546376259089e-5
Belice,2015,20-24,Mujer,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,7.116674169547521e-6
Belice,2015,20-24,Mujer,IV,"Enfermedades endocrinas, nutricionales y metabólicas",6.858267599063752e-5
Belice,2015,20-24,Mujer,IX,Enfermedades del sistema circulatorio,1.2294375082210686e-4
Belice,2015,20-24,Mujer,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",7.268363437004492e-5
Belice,2015,20-24,Mujer,X,Enfermedades del sistema respiratorio,6.799638695500678e-5
Belice,2015,20-24,Mujer,XI,Enfermedades del sistema digestivo,2.1330424995606582e-5
Belice,2015,20-24,Mujer,XII,Enfermedades de la piel y del tejido subcutáneo,1.6824049132129887e-6
Belice,2015,20-24,Mujer,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,1.1894878175243707e-5
Belice,2015,20-24,Mujer,XIV,Enfermedades del sistema genitourinario,9.377265703866973e-6
Belice,2015,20-24,Mujer,XV,"Embarazo, parto y puerperio",1.518564400840072e-5
Belice,2015,20-24,Mujer,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",6.171278049172583e-6
Belice,2015,20-24,Mujer,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",4.503689496785972e-6
Belice,2015,20-24,Mujer,XX,Causas externas de mortalidad,2.69915969142682e-4
Belice,2015,25-29,Hombre,I,Enfermedades infecciosas y parasitarias,2.236945894589275e-4
Belice,2015,25-29,Hombre,II,Tumores,8.208859052126366e-5
