causa_etiqueta,edad_orden,exceso_abs,edad_grupo
1096 · Accidentes de transporte,1,16,0
1096 · Accidentes de transporte,2,22,1
1096 · Accidentes de transporte,3,17,2
1096 · Accidentes de transporte,4,14,3
1096 · Accidentes de transporte,5,20,4
1096 · Accidentes de transporte,6,36,5-9
1096 · Accidentes de transporte,7,39,10-14
1096 · Accidentes de transporte,8,65,15-19
1096 · Accidentes de transporte,9,114,20-24
1096 · Accidentes de transporte,10,116,25-29
1096 · Accidentes de transporte,11,160,30-34
1096 · Accidentes de transporte,12,92,35-39
1096 · Accidentes de transporte,13,69,40-44
1096 · Accidentes de transporte,14,56,45-49
1096 · Accidentes de transporte,15,77,50-54
1096 · Accidentes de transporte,16,52,55-59
1096 · Accidentes de transporte,17,64,60-64
1096 · Accidentes de transporte,18,45,65-69
1096 · Accidentes de transporte,19,44,70-74
1096 · Accidentes de transporte,20,52,75-79
1096 · Accidentes de transporte,21,49,80-84
1096 · Accidentes de transporte,22,32,85-89
1096 · Accidentes de transporte,23,17,90-94
1096 · Accidentes de transporte,24,12,95+
1102 · Agresiones,1,10,0
1102 · Agresiones,2,13,1
1102 · Agresiones,3,10,2
1102 · Agresiones,4,13,3
1102 · Agresiones,5,7,4
1102 · Agresiones,6,23,5-9
1102 · Agresiones,7,64,10-14
1102 · Agresiones,8,558,15-19
1102 · Agresiones,9,618,20-24
1102 · Agresiones,10,573,25-29
1102 · Agresiones,11,528,30-34
1102 · Agresiones,12,458,35-39
1102 · Agresiones,13,230,40-44
1102 · Agresiones,14,172,45-49
1102 · Agresiones,15,96,50-54
1102 · Agresiones,16,99,55-59
1102 · Agresiones,17,81,60-64
1102 · Agresiones,18,50,65-69
1102 · Agresiones,19,69,70-74
1102 · Agresiones,20,36,75-79
1102 · Agresiones,21,22,80-84
1102 · Agresiones,22,24,85-89
1102 · Agresiones,23,8,90-94
1102 · Agresiones,24,6,95+
