anio,sexo,pais,grupo_edad,causa,causa_grupo,muertes,exposicion,mu_c,mu_total,q_c
2015,Hombre,Belice,25-29,II,Tumores,1,15954,6.268020559107433e-5,0.0033220508963269398,6.257620736882727e-5
2015,Hombre,Belice,25-29,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,0,15954,0,0.0033220508963269398,0
2015,Hombre,Belice,25-29,IV,"Enfermedades endocrinas, nutricionales y metabólicas",0,15954,0,0.0033220508963269398,0
2015,Hombre,Belice,25-29,IX,Enfermedades del sistema circulatorio,0,15954,0,0.0033220508963269398,0
2015,Hombre,Belice,25-29,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",1,15954,6.268020559107433e-5,0.0033220508963269398,6.257620736882727e-5
2015,Hombre,Belice,25-29,X,Enfermedades del sistema respiratorio,1,15954,6.268020559107433e-5,0.0033220508963269398,6.257620736882727e-5
2015,Hombre,Belice,25-29,XI,Enfermedades del sistema digestivo,3,15954,1.88040616773223e-4,0.0033220508963269398,1.8772862210648185e-4
2015,Hombre,Belice,25-29,XII,Enfermedades de la piel y del tejido subcutáneo,0,15954,0,0.0033220508963269398,0
2015,Hombre,Belice,25-29,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0,15954,0,0.0033220508963269398,0
2015,Hombre,Belice,25-29,XIV,Enfermedades del sistema genitourinario,1,15954,6.268020559107433e-5,0.0033220508963269398,6.257620736882727e-5
2015,Hombre,Belice,25-29,XV,"Embarazo, parto y puerperio",0,15954,0,0.0033220508963269398,0
2015,Hombre,Belice,25-29,XVI,Afecciones originadas en el periodo perinatal,0,15954,0,0.0033220508963269398,0
2015,Hombre,Belice,25-29,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",0,15954,0,0.0033220508963269398,0
2015,Hombre,Belice,25-29,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",3,15954,1.88040616773223e-4,0.0033220508963269398,1.8772862210648185e-4
2015,Hombre,Belice,25-29,XX,Causas externas de mortalidad,40,15954,0.0025072082236429734,0.0033220508963269398,0.0025030482947530916
2015,Hombre,Belice,30-34,I,Enfermedades infecciosas y parasitarias,12,13618,8.811866647084741e-4,0.003891907769129094,8.794741384803211e-4
2015,Hombre,Belice,30-34,II,Tumores,0,13618,0,0.003891907769129094,0
2015,Hombre,Belice,30-34,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,1,13618,7.34322220590395e-5,0.003891907769129094,7.328951154002675e-5
2015,Hombre,Belice,30-34,IV,"Enfermedades endocrinas, nutricionales y metabólicas",0,13618,0,0.003891907769129094,0
2015,Hombre,Belice,30-34,IX,Enfermedades del sistema circulatorio,2,13618,1.46864444118079e-4,0.003891907769129094,1.465790230800535e-4
2015,Hombre,Belice,30-34,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",3,13618,2.2029666617711852e-4,0.003891907769129094,2.1986853462008026e-4
2015,Hombre,Belice,30-34,X,Enfermedades del sistema respiratorio,2,13618,1.46864444118079e-4,0.003891907769129094,1.465790230800535e-4
2015,Hombre,Belice,30-34,XI,Enfermedades del sistema digestivo,2,13618,1.46864444118079e-4,0.003891907769129094,1.465790230800535e-4
2015,Hombre,Belice,30-34,XII,Enfermedades de la piel y del tejido subcutáneo,0,13618,0,0.003891907769129094,0
2015,Hombre,Belice,30-34,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0,13618,0,0.003891907769129094,0
2015,Hombre,Belice,30-34,XIV,Enfermedades del sistema genitourinario,0,13618,0,0.003891907769129094,0
2015,Hombre,Belice,30-34,XV,"Embarazo, parto y puerperio",0,13618,0,0.003891907769129094,0
2015,Hombre,Belice,30-34,XVI,Afecciones originadas en el periodo perinatal,0,13618,0,0.003891907769129094,0
2015,Hombre,Belice,30-34,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",0,13618,0,0.003891907769129094,0
2015,Hombre,Belice,30-34,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",1,13618,7.34322220590395e-5,0.003891907769129094,7.328951154002675e-5
2015,Hombre,Belice,30-34,XX,Causas externas de mortalidad,30,13618,0.0022029666617711854,0.003891907769129094,0.002198685346200803
2015,Hombre,Belice,35-39,I,Enfermedades infecciosas y parasitarias,14,11601,0.001206792517886389,0.004482372209292302,0.001204091907817378
2015,Hombre,Belice,35-39,II,Tumores,3,11601,2.585983966899405e-4,0.004482372209292302,2.580196945322953e-4
2015,Hombre,Belice,35-39,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,0,11601,0,0.004482372209292302,0
2015,Hombre,Belice,35-39,IV,"Enfermedades endocrinas, nutricionales y metabólicas",1,11601,8.61994655633135e-5,0.004482372209292302,8.600656484409843e-5
2015,Hombre,Belice,35-39,IX,Enfermedades del sistema circulatorio,2,11601,1.72398931126627e-4,0.004482372209292302,1.7201312968819686e-4
2015,Hombre,Belice,35-39,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",1,11601,8.61994655633135e-5,0.004482372209292302,8.600656484409843e-5
2015,Hombre,Belice,35-39,X,Enfermedades del sistema respiratorio,2,11601,1.72398931126627e-4,0.004482372209292302,1.7201312968819686e-4
2015,Hombre,Belice,35-39,XI,Enfermedades del sistema digestivo,2,11601,1.72398931126627e-4,0.004482372209292302,1.7201312968819686e-4
2015,Hombre,Belice,35-39,XII,Enfermedades de la piel y del tejido subcutáneo,0,11601,0,0.004482372209292302,0
2015,Hombre,Belice,35-39,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0,11601,0,0.004482372209292302,0
2015,Hombre,Belice,35-39,XIV,Enfermedades del sistema genitourinario,1,11601,8.61994655633135e-5,0.004482372209292302,8.600656484409843e-5
2015,Hombre,Belice,35-39,XV,"Embarazo, parto y puerperio",0,11601,0,0.004482372209292302,0
2015,Hombre,Belice,35-39,XVI,Afecciones originadas en el periodo perinatal,0,11601,0,0.004482372209292302,0
2015,Hombre,Belice,35-39,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",1,11601,8.61994655633135e-5,0.004482372209292302,8.600656484409843e-5
2015,Hombre,Belice,35-39,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",0,11601,0,0.004482372209292302,0
2015,Hombre,Belice,35-39,XX,Causas externas de mortalidad,25,11601,0.0021549866390828377,0.004482372209292302,0.002150164121102461
2015,Hombre,Belice,40-44,I,Enfermedades infecciosas y parasitarias,15,10273,0.0014601382264187676,0.00447775722768422,0.0014568740280837544
2015,Hombre,Belice,40-44,II,Tumores,3,10273,2.920276452837535e-4,0.00447775722768422,2.913748056167509e-4
2015,Hombre,Belice,40-44,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,0,10273,0,0.00447775722768422,0
2015,Hombre,Belice,40-44,IV,"Enfermedades endocrinas, nutricionales y metabólicas",1,10273,9.734254842791784e-5,0.00447775722768422,9.712493520558364e-5
2015,Hombre,Belice,40-44,IX,Enfermedades del sistema circulatorio,6,10273,5.84055290567507e-4,0.00447775722768422,5.827496112335018e-4
2015,Hombre,Belice,40-44,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",1,10273,9.734254842791784e-5,0.00447775722768422,9.712493520558364e-5
2015,Hombre,Belice,40-44,X,Enfermedades del sistema respiratorio,2,10273,1.9468509685583569e-4,0.00447775722768422,1.9424987041116729e-4
