causa_etiqueta,edad_orden,muertes_total,edad_grupo
1094 · Síntomas y hallazgos no clasificados,1,3387,0
1094 · Síntomas y hallazgos no clasificados,2,770,1
1094 · Síntomas y hallazgos no clasificados,3,308,2
1094 · Síntomas y hallazgos no clasificados,4,160,3
1094 · Síntomas y hallazgos no clasificados,5,117,4
1094 · Síntomas y hallazgos no clasificados,6,437,5-9
1094 · Síntomas y hallazgos no clasificados,7,565,10-14
1094 · Síntomas y hallazgos no clasificados,8,846,15-19
1094 · Síntomas y hallazgos no clasificados,9,1029,20-24
1094 · Síntomas y hallazgos no clasificados,10,1157,25-29
1094 · Síntomas y hallazgos no clasificados,11,1264,30-34
1094 · Síntomas y hallazgos no clasificados,12,1551,35-39
1094 · Síntomas y hallazgos no clasificados,13,1740,40-44
1094 · Síntomas y hallazgos no clasificados,14,1945,45-49
1094 · Síntomas y hallazgos no clasificados,15,2375,50-54
1094 · Síntomas y hallazgos no clasificados,16,2990,55-59
1094 · Síntomas y hallazgos no clasificados,17,3559,60-64
1094 · Síntomas y hallazgos no clasificados,18,4396,65-69
1094 · Síntomas y hallazgos no clasificados,19,5413,70-74
1094 · Síntomas y hallazgos no clasificados,20,6755,75-79
1094 · Síntomas y hallazgos no clasificados,21,8613,80-84
1094 · Síntomas y hallazgos no clasificados,22,9299,85-89
1094 · Síntomas y hallazgos no clasificados,23,7134,90-94
1094 · Síntomas y hallazgos no clasificados,24,3839,95+
1096 · Accidentes de transporte,1,46,0
1096 · Accidentes de transporte,2,83,1
1096 · Accidentes de transporte,3,73,2
1096 · Accidentes de transporte,4,54,3
1096 · Accidentes de transporte,5,63,4
1096 · Accidentes de transporte,6,267,5-9
1096 · Accidentes de transporte,7,326,10-14
1096 · Accidentes de transporte,8,1266,15-19
1096 · Accidentes de transporte,9,2460,20-24
1096 · Accidentes de transporte,10,2291,25-29
1096 · Accidentes de transporte,11,1905,30-34
1096 · Accidentes de transporte,12,1512,35-39
1096 · Accidentes de transporte,13,1261,40-44
1096 · Accidentes de transporte,14,1124,45-49
1096 · Accidentes de transporte,15,1022,50-54
1096 · Accidentes de transporte,16,939,55-59
1096 · Accidentes de transporte,17,784,60-64
1096 · Accidentes de transporte,18,700,65-69
1096 · Accidentes de transporte,19,530,70-74
1096 · Accidentes de transporte,20,488,75-79
1096 · Accidentes de transporte,21,350,80-84
1096 · Accidentes de transporte,22,193,85-89
1096 · Accidentes de transporte,23,73,90-94
1096 · Accidentes de transporte,24,24,95+
1102 · Agresiones,1,41,0
1102 · Agresiones,2,19,1
1102 · Agresiones,3,27,2
1102 · Agresiones,4,27,3
1102 · Agresiones,5,11,4
1102 · Agresiones,6,85,5-9
1102 · Agresiones,7,503,10-14
1102 · Agresiones,8,5526,15-19
1102 · Agresiones,9,6929,20-24
1102 · Agresiones,10,5429,25-29
1102 · Agresiones,11,4426,30-34
1102 · Agresiones,12,3866,35-39
1102 · Agresiones,13,2885,40-44
1102 · Agresiones,14,2020,45-49
1102 · Agresiones,15,1410,50-54
1102 · Agresiones,16,1027,55-59
1102 · Agresiones,17,760,60-64
1102 · Agresiones,18,503,65-69
1102 · Agresiones,19,340,70-74
1102 · Agresiones,20,226,75-79
1102 · Agresiones,21,147,80-84
1102 · Agresiones,22,81,85-89
1102 · Agresiones,23,39,90-94
1102 · Agresiones,24,29,95+
