causa_etiqueta,edad_orden,muertes_total,edad_grupo,total_edad,peso_causa_edad
1094 · Síntomas y hallazgos no clasificados,9,1029,20-24,17440,0.05900229357798165
1094 · Síntomas y hallazgos no clasificados,10,1157,25-29,17406,0.06647133172469263
1094 · Síntomas y hallazgos no clasificados,11,1264,30-34,18461,0.06846866366935703
1094 · Síntomas y hallazgos no clasificados,12,1551,35-39,21409,0.07244616749964967
1094 · Síntomas y hallazgos no clasificados,13,1740,40-44,23213,0.07495799767371732
1094 · Síntomas y hallazgos no clasificados,14,1945,45-49,26606,0.07310381117041269
1094 · Síntomas y hallazgos no clasificados,15,2375,50-54,32570,0.07291986490635555
1094 · Síntomas y hallazgos no clasificados,16,2990,55-59,40928,0.07305512118842845
1094 · Síntomas y hallazgos no clasificados,17,3559,60-64,47678,0.0746465875246445
1094 · Síntomas y hallazgos no clasificados,18,4396,65-69,53467,0.08221893878467092
1094 · Síntomas y hallazgos no clasificados,19,5413,70-74,58114,0.09314450906838283
1094 · Síntomas y hallazgos no clasificados,20,6755,75-79,65186,0.10362654557727119
1094 · Síntomas y hallazgos no clasificados,21,8613,80-84,69211,0.1244455361142015
1094 · Síntomas y hallazgos no clasificados,22,9299,85-89,65718,0.14149852399646975
1094 · Síntomas y hallazgos no clasificados,23,7134,90-94,42471,0.16797344070071343
1094 · Síntomas y hallazgos no clasificados,24,3839,95+,21851,0.17568989977575397
1096 · Accidentes de transporte,1,46,0,48630,9.459181575159366e-4
1096 · Accidentes de transporte,2,83,1,6811,0.012186169431801498
1096 · Accidentes de transporte,3,73,2,2632,0.027735562310030396
1096 · Accidentes de transporte,4,54,3,1447,0.03731859018659295
1096 · Accidentes de transporte,5,63,4,1142,0.05516637478108581
1096 · Accidentes de transporte,6,267,5-9,3993,0.06686701728024042
1096 · Accidentes de transporte,7,326,10-14,4687,0.0695540857691487
1096 · Accidentes de transporte,8,1266,15-19,13011,0.09730228268388287
1096 · Accidentes de transporte,9,2460,20-24,17440,0.14105504587155962
1096 · Accidentes de transporte,10,2291,25-29,17406,0.13162128001838447
1096 · Accidentes de transporte,11,1905,30-34,18461,0.10319050972320026
1096 · Accidentes de transporte,12,1512,35-39,21409,0.07062450371339156
1096 · Accidentes de transporte,13,1261,40-44,23213,0.05432300865894111
1096 · Accidentes de transporte,14,1124,45-49,26606,0.04224610990002255
1096 · Accidentes de transporte,15,1022,50-54,32570,0.03137856923549279
1096 · Accidentes de transporte,16,939,55-59,40928,0.022942728694292414
1096 · Accidentes de transporte,17,784,60-64,47678,0.01644364277025043
1096 · Accidentes de transporte,18,700,65-69,53467,0.013092187704565434
1096 · Accidentes de transporte,19,530,70-74,58114,0.00912000550641842
1096 · Accidentes de transporte,20,488,75-79,65186,0.007486270057987912
1096 · Accidentes de transporte,21,350,80-84,69211,0.005056999609888602
1096 · Accidentes de transporte,22,193,85-89,65718,0.0029367905292309567
1096 · Accidentes de transporte,23,73,90-94,42471,0.0017188199006380825
1096 · Accidentes de transporte,24,24,95+,21851,0.0010983479016978628
1102 · Agresiones,1,41,0,48630,8.431009664815958e-4
