anio,sexo,pais,grupo_edad,causa,causa_grupo,muertes,exposicion
2015,Hombre,Belice,75-79,IV,"Enfermedades endocrinas, nutricionales y metabólicas",8,1339
2015,Hombre,Belice,75-79,IX,Enfermedades del sistema circulatorio,32,1339
2015,Hombre,Belice,75-79,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",2,1339
2015,Hombre,Belice,75-79,X,Enfermedades del sistema respiratorio,14,1339
2015,Hombre,Belice,75-79,XI,Enfermedades del sistema digestivo,2,1339
2015,Hombre,Belice,75-79,XII,Enfermedades de la piel y del tejido subcutáneo,0,1339
2015,Hombre,Belice,75-79,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0,1339
2015,Hombre,Belice,75-79,XIV,Enfermedades del sistema genitourinario,4,1339
2015,Hombre,Belice,75-79,XV,"Embarazo, parto y puerperio",0,1339
2015,Hombre,Belice,75-79,XVI,Afecciones originadas en el periodo perinatal,0,1339
2015,Hombre,Belice,75-79,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",0,1339
2015,Hombre,Belice,75-79,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",1,1339
2015,Hombre,Belice,75-79,XX,Causas externas de mortalidad,5,1339
2015,Hombre,Belice,80-84,I,Enfermedades infecciosas y parasitarias,2,815
2015,Hombre,Belice,80-84,II,Tumores,16,815
2015,Hombre,Belice,80-84,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,1,815
2015,Hombre,Belice,80-84,IV,"Enfermedades endocrinas, nutricionales y metabólicas",7,815
2015,Hombre,Belice,80-84,IX,Enfermedades del sistema circulatorio,34,815
2015,Hombre,Belice,80-84,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",4,815
2015,Hombre,Belice,80-84,X,Enfermedades del sistema respiratorio,19,815
2015,Hombre,Belice,80-84,XI,Enfermedades del sistema digestivo,5,815
2015,Hombre,Belice,80-84,XII,Enfermedades de la piel y del tejido subcutáneo,0,815
2015,Hombre,Belice,80-84,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0,815
2015,Hombre,Belice,80-84,XIV,Enfermedades del sistema genitourinario,3,815
2015,Hombre,Belice,80-84,XV,"Embarazo, parto y puerperio",0,815
2015,Hombre,Belice,80-84,XVI,Afecciones originadas en el periodo perinatal,0,815
2015,Hombre,Belice,80-84,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",0,815
2015,Hombre,Belice,80-84,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",2,815
2015,Hombre,Belice,80-84,XX,Causas externas de mortalidad,3,815
2015,Hombre,Belice,85-89,I,Enfermedades infecciosas y parasitarias,3,380
2015,Hombre,Belice,85-89,II,Tumores,8,380
2015,Hombre,Belice,85-89,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,1,380
2015,Hombre,Belice,85-89,IV,"Enfermedades endocrinas, nutricionales y metabólicas",8,380
2015,Hombre,Belice,85-89,IX,Enfermedades del sistema circulatorio,27,380
2015,Hombre,Belice,85-89,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",2,380
2015,Hombre,Belice,85-89,X,Enfermedades del sistema respiratorio,9,380
2015,Hombre,Belice,85-89,XI,Enfermedades del sistema digestivo,1,380
2015,Hombre,Belice,85-89,XII,Enfermedades de la piel y del tejido subcutáneo,0,380
2015,Hombre,Belice,85-89,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0,380
2015,Hombre,Belice,85-89,XIV,Enfermedades del sistema genitourinario,4,380
2015,Hombre,Belice,85-89,XV,"Embarazo, parto y puerperio",0,380
2015,Hombre,Belice,85-89,XVI,Afecciones originadas en el periodo perinatal,0,380
2015,Hombre,Belice,85-89,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",0,380
2015,Hombre,Belice,85-89,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",1,380
2015,Hombre,Belice,85-89,XX,Causas externas de mortalidad,2,380
2015,Hombre,Belice,90-94,I,Enfermedades infecciosas y parasitarias,0,97
2015,Hombre,Belice,90-94,II,Tumores,1,97
2015,Hombre,Belice,90-94,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,0,97
2015,Hombre,Belice,90-94,IV,"Enfermedades endocrinas, nutricionales y metabólicas",3,97
2015,Hombre,Belice,90-94,IX,Enfermedades del sistema circulatorio,16,97
2015,Hombre,Belice,90-94,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",0,97
2015,Hombre,Belice,90-94,X,Enfermedades del sistema respiratorio,10,97
2015,Hombre,Belice,90-94,XI,Enfermedades del sistema digestivo,0,97
2015,Hombre,Belice,90-94,XII,Enfermedades de la piel y del tejido subcutáneo,0,97
2015,Hombre,Belice,90-94,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,0,97
2015,Hombre,Belice,90-94,XIV,Enfermedades del sistema genitourinario,1,97
2015,Hombre,Belice,90-94,XV,"Embarazo, parto y puerperio",0,97
2015,Hombre,Belice,90-94,XVI,Afecciones originadas en el periodo perinatal,0,97
2015,Hombre,Belice,90-94,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",0,97
2015,Hombre,Belice,90-94,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",1,97
2015,Hombre,Belice,90-94,XX,Causas externas de mortalidad,1,97
2015,Hombre,Belice,95+,I,Enfermedades infecciosas y parasitarias,0,15
2015,Hombre,Belice,95+,II,Tumores,0,15
